ytid,status,path,duration_s,error
XWhmLbnrtd0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XWhmLbnrtd0_160_170.wav,10.0,
XXBVsNt2Qr8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XXBVsNt2Qr8_30_40.wav,10.0,
XXdPZMsrBd4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XXdPZMsrBd4_370_380.wav,10.0,
XWj7nP7kfdQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XWj7nP7kfdQ_280_290.wav,10.0,
XYOnq7ju7o0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XYOnq7ju7o0_30_40.wav,10.0,
XYQnMxWnetY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XYQnMxWnetY_80_90.wav,10.0,
XaUXJG0BZuk,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XaUXJG0BZuk_0_10.wav,10.0,
XZurp_Ex9No,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\XZurp_Ex9No_30_40.wav,10.0,
X_nfMNpw9SA,missing,,,ERROR: Postprocessing: WARNING: unable to obtain file audio codec with ffprobe
XaqVAF-ADWU,missing,,,"ERROR: [youtube] XaqVAF-ADWU: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Xaq-segSEsQ,missing,,,"ERROR: [youtube] Xaq-segSEsQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XalMIYYgHt0,missing,,,"ERROR: [youtube] XalMIYYgHt0: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XcvY-NdM8WA,missing,,,"ERROR: [youtube] XcvY-NdM8WA: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XdxTZ4-sJvY,missing,,,"ERROR: [youtube] XdxTZ4-sJvY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XdBf_omYIO4,missing,,,"ERROR: [youtube] XdBf_omYIO4: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Xe59DpKa-O4,missing,,,"ERROR: [youtube] Xe59DpKa-O4: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Xf0aZ3a3Toc,missing,,,"ERROR: [youtube] Xf0aZ3a3Toc: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XfLI8gHCuFE,missing,,,"ERROR: [youtube] XfLI8gHCuFE: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XfdySM4X9Xo,missing,,,"ERROR: [youtube] XfdySM4X9Xo: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XfLIbeSJSHE,missing,,,"ERROR: [youtube] XfLIbeSJSHE: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XgLUXNAC7b8,missing,,,"ERROR: [youtube] XgLUXNAC7b8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XgOA5oRkL2A,missing,,,"ERROR: [youtube] XgOA5oRkL2A: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XhV4zf-Xlmk,missing,,,"ERROR: [youtube] XhV4zf-Xlmk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XgXOW3lX25Y,missing,,,"ERROR: [youtube] XgXOW3lX25Y: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Ximk6BHj9nE,missing,,,"ERROR: [youtube] Ximk6BHj9nE: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XjGm3Bn4j5k,missing,,,"ERROR: [youtube] XjGm3Bn4j5k: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XjoRxeEyjz4,missing,,,"ERROR: [youtube] XjoRxeEyjz4: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XjUmXwVlDDo,missing,,,"ERROR: [youtube] XjUmXwVlDDo: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XjrVSk0_4vc,missing,,,"ERROR: [youtube] XjrVSk0_4vc: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XkBXsaSXDJ0,missing,,,"ERROR: [youtube] XkBXsaSXDJ0: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Xm2ciX0_UP8,missing,,,"ERROR: [youtube] Xm2ciX0_UP8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Xl4RSHQsnl8,missing,,,"ERROR: [youtube] Xl4RSHQsnl8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XmMN-6g1L8w,missing,,,"ERROR: [youtube] XmMN-6g1L8w: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Xn0wIqnt_44,missing,,,"ERROR: [youtube] Xn0wIqnt_44: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XnHAH2aPHk0,missing,,,"ERROR: [youtube] XnHAH2aPHk0: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XnMokzAE5kk,missing,,,"ERROR: [youtube] XnMokzAE5kk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XoTJkok3FlY,missing,,,"ERROR: [youtube] XoTJkok3FlY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Xoke1wUwEXY,missing,,,"ERROR: [youtube] Xoke1wUwEXY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XpueyrkcMyQ,missing,,,"ERROR: [youtube] XpueyrkcMyQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XrjkzI6TVwc,missing,,,"ERROR: [youtube] XrjkzI6TVwc: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XscK8V4Veac,missing,,,"ERROR: [youtube] XscK8V4Veac: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XscNEv9tX5U,missing,,,"ERROR: [youtube] XscNEv9tX5U: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XtpfZx12hDM,missing,,,"ERROR: [youtube] XtpfZx12hDM: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Xsvi5Mgl3qo,missing,,,"ERROR: [youtube] Xsvi5Mgl3qo: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Xus0LI3QV2A,missing,,,"ERROR: [youtube] Xus0LI3QV2A: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XvN-qr-WYmw,missing,,,"ERROR: [youtube] XvN-qr-WYmw: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XvtL_TTLXHY,missing,,,"ERROR: [youtube] XvtL_TTLXHY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XvyaEbEpAMc,missing,,,"ERROR: [youtube] XvyaEbEpAMc: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XwhAoMLNYWQ,missing,,,"ERROR: [youtube] XwhAoMLNYWQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XxKlsW4H0qo,missing,,,"ERROR: [youtube] XxKlsW4H0qo: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Xy7KtmHMQzU,missing,,,"ERROR: [youtube] Xy7KtmHMQzU: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Xxe6vTEwFvs,missing,,,"ERROR: [youtube] Xxe6vTEwFvs: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XykUpCigu4w,missing,,,"ERROR: [youtube] XykUpCigu4w: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XzRxO8n3WRE,missing,,,"ERROR: [youtube] XzRxO8n3WRE: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XzTBNfQ7_GA,missing,,,"ERROR: [youtube] XzTBNfQ7_GA: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XzlDa1dzUh4,missing,,,"ERROR: [youtube] XzlDa1dzUh4: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
XzwhTltRQcM,missing,,,"ERROR: [youtube] XzwhTltRQcM: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y-qOOR0izlE,missing,,,"ERROR: [youtube] Y-qOOR0izlE: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y02VBGoTi9w,missing,,,"ERROR: [youtube] Y02VBGoTi9w: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y0_Ixl1d7oQ,missing,,,"ERROR: [youtube] Y0_Ixl1d7oQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y1ItBiA8nKU,missing,,,"ERROR: [youtube] Y1ItBiA8nKU: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y1gheqplpIg,missing,,,"ERROR: [youtube] Y1gheqplpIg: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y3WXrp3JFxU,missing,,,"ERROR: [youtube] Y3WXrp3JFxU: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y5RVYmf3uWc,missing,,,"ERROR: [youtube] Y5RVYmf3uWc: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y6OOFbrzdP8,missing,,,"ERROR: [youtube] Y6OOFbrzdP8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y7SoAXBFUew,missing,,,"ERROR: [youtube] Y7SoAXBFUew: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y7mTjfgcybQ,missing,,,"ERROR: [youtube] Y7mTjfgcybQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y8ULUSXWTcY,missing,,,"ERROR: [youtube] Y8ULUSXWTcY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y8plCTF8xsY,missing,,,"ERROR: [youtube] Y8plCTF8xsY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y8wHDcVCGa0,missing,,,"ERROR: [youtube] Y8wHDcVCGa0: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YAVVMxqtxGE,missing,,,"ERROR: [youtube] YAVVMxqtxGE: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YAYp2E5vMNw,missing,,,"ERROR: [youtube] YAYp2E5vMNw: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YB28WMv7wUE,missing,,,"ERROR: [youtube] YB28WMv7wUE: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YB_PzRgHOeo,missing,,,"ERROR: [youtube] YB_PzRgHOeo: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YBbvQ0RPrG8,missing,,,"ERROR: [youtube] YBbvQ0RPrG8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YDBxdZchOuM,missing,,,"ERROR: [youtube] YDBxdZchOuM: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YDh36ZdneAU,missing,,,"ERROR: [youtube] YDh36ZdneAU: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YE2rN3xknlk,missing,,,"ERROR: [youtube] YE2rN3xknlk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YErpnsceZw8,missing,,,"ERROR: [youtube] YErpnsceZw8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YEwikeeqF38,missing,,,"ERROR: [youtube] YEwikeeqF38: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YFXSbPFaxcA,missing,,,"ERROR: [youtube] YFXSbPFaxcA: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YFhbrSUb0JQ,missing,,,"ERROR: [youtube] YFhbrSUb0JQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YGWweVRzFrw,missing,,,"ERROR: [youtube] YGWweVRzFrw: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YIhfk4Zaevk,missing,,,"ERROR: [youtube] YIhfk4Zaevk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YJKZVSvz1Bk,missing,,,"ERROR: [youtube] YJKZVSvz1Bk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YK1AEw1kf28,missing,,,"ERROR: [youtube] YK1AEw1kf28: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YLlbLSNxdQ4,missing,,,"ERROR: [youtube] YLlbLSNxdQ4: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YKQMolFL2Rs,missing,,,"ERROR: [youtube] YKQMolFL2Rs: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YMq4wE6KxmQ,missing,,,"ERROR: [youtube] YMq4wE6KxmQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YNdexakUGOo,missing,,,"ERROR: [youtube] YNdexakUGOo: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YNoR-SR5t1s,missing,,,"ERROR: [youtube] YNoR-SR5t1s: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YNv7mzbUUHc,missing,,,"ERROR: [youtube] YNv7mzbUUHc: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YOA1JOyd7cw,missing,,,"ERROR: [youtube] YOA1JOyd7cw: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YODoF8e7Jlk,missing,,,"ERROR: [youtube] YODoF8e7Jlk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YOG_PPvTvW0,missing,,,"ERROR: [youtube] YOG_PPvTvW0: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YSXrSxC68VM,missing,,,"ERROR: [youtube] YSXrSxC68VM: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YSrTtw6ku2E,missing,,,"ERROR: [youtube] YSrTtw6ku2E: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YTYj8Bk0qM8,missing,,,"ERROR: [youtube] YTYj8Bk0qM8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YTZK9FNgK74,missing,,,"ERROR: [youtube] YTZK9FNgK74: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YVEqyQjyy1Q,missing,,,"ERROR: [youtube] YVEqyQjyy1Q: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YWf3I4jKusI,missing,,,"ERROR: [youtube] YWf3I4jKusI: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YW4AKwkpYxs,missing,,,"ERROR: [youtube] YW4AKwkpYxs: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YXDHyD4HU0E,missing,,,"ERROR: [youtube] YXDHyD4HU0E: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YZH-PZBir3E,missing,,,"ERROR: [youtube] YZH-PZBir3E: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YZx0_GRtvJk,missing,,,"ERROR: [youtube] YZx0_GRtvJk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YZvv4hOlNqw,missing,,,"ERROR: [youtube] YZvv4hOlNqw: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Y_eh6C0EBP8,missing,,,"ERROR: [youtube] Y_eh6C0EBP8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YbLR6dgY-K4,missing,,,"ERROR: [youtube] YbLR6dgY-K4: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YcWJUHWt-64,missing,,,"ERROR: [youtube] YcWJUHWt-64: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YcfGSJB1YvQ,missing,,,"ERROR: [youtube] YcfGSJB1YvQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Ycid0vBwqUg,missing,,,"ERROR: [youtube] Ycid0vBwqUg: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Yd8JBTdUvrw,missing,,,"ERROR: [youtube] Yd8JBTdUvrw: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YddV91xnUz4,missing,,,"ERROR: [youtube] YddV91xnUz4: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YeIXmKPyTVY,missing,,,"ERROR: [youtube] YeIXmKPyTVY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YgX85tZf1ts,missing,,,"ERROR: [youtube] YgX85tZf1ts: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Yiau7DypQi0,missing,,,"ERROR: [youtube] Yiau7DypQi0: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Yj7YyxKyXPU,missing,,,"ERROR: [youtube] Yj7YyxKyXPU: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YjTz5y8DnWo,missing,,,"ERROR: [youtube] YjTz5y8DnWo: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Yk2ZrS0ZS6g,missing,,,"ERROR: [youtube] Yk2ZrS0ZS6g: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YlV45uBUVBc,missing,,,"ERROR: [youtube] YlV45uBUVBc: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YlgCFc3OvmI,missing,,,"ERROR: [youtube] YlgCFc3OvmI: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YnE5ONaXtLY,missing,,,"ERROR: [youtube] YnE5ONaXtLY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
